,Veces Elegido
11,247
12,247
34,245
38,243
0,242
71,242
5,241
61,239
82,239
50,237
58,236
103,236
78,235
48,234
104,233
26,233
40,232
72,228
51,227
92,226
96,226
108,225
125,225
74,224
9,222
2,221
75,218
16,218
151,217
95,216
137,216
53,215
10,215
67,214
156,213
70,213
54,211
17,210
148,209
135,207
153,207
8,207
158,205
188,204
142,204
171,204
27,203
163,203
52,202
94,198
209,198
69,198
14,195
28,195
127,195
138,192
37,192
130,191
187,184
114,183
225,183
64,182
107,182
169,181
121,180
146,180
160,179
144,177
118,177
15,176
7,176
77,175
21,174
30,174
181,172
234,172
210,171
211,169
66,169
101,168
32,168
43,168
25,168
134,167
239,166
162,165
35,160
238,159
122,157
55,156
241,153
85,149
22,149
29,149
120,149
131,147
201,146
111,144
83,143
244,143
191,142
147,142
13,141
65,141
157,140
79,140
49,138
86,138
23,137
73,137
76,137
220,134
6,133
116,131
126,130
80,129
235,129
128,129
97,129
226,129
243,127
56,126
41,126
19,126
36,124
68,123
106,121
84,121
47,121
81,120
109,120
165,120
57,117
33,116
18,116
248,115
228,115
233,115
60,115
176,113
213,111
129,110
194,109
184,107
166,107
112,107
91,105
219,104
4,103
62,101
45,101
161,101
159,100
24,100
154,99
133,98
102,96
46,96
39,95
215,95
110,95
31,94
174,93
132,92
200,92
20,92
149,90
3,89
145,86
88,85
87,83
152,83
168,81
113,81
139,80
212,79
208,74
100,73
196,73
179,73
115,72
140,71
93,70
150,68
105,68
119,67
242,67
123,67
117,66
1,65
143,64
124,61
227,61
173,57
42,52
195,52
99,51
204,50
89,50
178,50
164,49
59,49
90,49
221,47
218,45
205,45
216,43
240,43
207,42
199,40
44,40
175,40
172,38
167,37
98,37
183,36
229,36
63,35
206,35
190,35
232,34
136,34
155,33
237,33
182,31
198,30
193,30
186,28
141,26
247,25
197,25
177,24
224,24
189,23
231,22
230,20
180,17
217,17
249,16
202,12
214,12
246,11
203,11
185,9
245,7
236,7
223,7
170,6
222,4
192,1
