,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.4457016792852369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.35359193127195726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.2007063894428058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.453120819537,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.5468791804630001,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.33172249066484205,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.25967208637203,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.14348249724553433,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.10655526858036836,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.15856765713722526,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.3416086381987787,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.3336080874974449,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.3247832743037765,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.2255034076874931,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.18617909662527185,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.19537664788108952,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.18813471875090523,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.20480612905524023,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.20368455157830437,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.17858666560427677,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.14432405557085215,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.1745237194061442,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.1623119514292288,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.13656905641119377,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.225184630895342,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.1988756095261473,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.23156031049416953,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.1493512968542038,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.19502815223013736,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17404180180123557
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613165231893317
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16766693733679183
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15845247193087536
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586751480364096
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1798471177053561
