,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,17260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,10379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,3486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,14776.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,16349.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,4892.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,7375.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,6274.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,6766.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,5818.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,9563.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,11569.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,9993.0,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,5623.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,6523.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,7091.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,5890.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,5998.0,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,5231.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,5554.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,5385.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,4925.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,5895.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,4135.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,8775.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,7666.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,8931.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,2975.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,2778.0,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5436.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5632.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6152.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5509.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447.0
