,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.5552785239757427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.33390705679862304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.11081441922563415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.4867148098796008,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.5132851901203992,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.18702256869422867,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.19099728540684377,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.2143401429667143,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.21301916450618197,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.19462083842603123,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.33251162305591175,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.3330552414371541,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.3344331355069342,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.2038355227124346,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.1891686451578461,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.19500419590833962,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.1842084647653529,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.2277831714560268,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.19269326264279926,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.17964135806636722,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.14877459653959194,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.18142120407489704,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.16994574234727278,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.12752383632907174,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.2443395598241357,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.21345949465661815,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.26154630737037177,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.15312620778411473,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.1275284303647598,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20097976893802846
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561697100798808
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376523688831138
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14205640013178347
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16294297970266353
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17408590425933232
