,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,12534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,11144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,7447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,14846.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,16279.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,7975.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,9248.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,5241.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,3385.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,5276.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,8744.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,11891.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,10490.0,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,6909.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,6588.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,6952.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,5625.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,5051.0,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,5679.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,4995.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,5796.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,4713.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,5597.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,4345.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,7476.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,8446.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,3311.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,4542.0,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5248.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5512.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5953.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3995.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5809.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4608.0
