,Veces Elegido
12,239
11,237
5,236
104,234
0,230
34,230
26,229
38,224
171,223
96,221
50,220
52,220
95,219
40,219
92,217
48,216
58,216
2,214
9,213
71,213
13,212
103,211
17,208
94,207
30,207
54,205
72,205
151,205
8,204
108,203
78,201
61,200
27,199
51,199
82,196
156,195
21,193
153,193
74,191
125,191
10,191
106,189
126,189
77,186
148,186
67,185
169,185
187,185
121,185
163,184
137,183
135,182
181,181
114,181
15,181
83,181
142,180
101,180
127,179
138,177
75,177
130,176
188,175
107,174
86,174
22,173
118,172
120,172
4,171
157,171
53,171
73,170
111,169
85,168
70,168
209,167
35,166
158,166
160,165
116,164
28,163
128,162
225,161
176,157
14,156
32,155
25,154
16,153
64,153
161,152
159,151
129,151
7,149
144,147
56,146
166,146
66,145
211,144
210,144
239,143
100,143
91,142
84,142
162,140
175,139
146,139
220,139
60,139
194,138
97,138
29,136
191,136
55,136
31,135
79,134
201,134
238,134
242,133
184,133
234,130
81,130
147,128
228,127
99,127
37,126
241,126
213,126
36,125
69,125
149,125
57,124
93,122
43,122
65,122
115,121
173,119
102,118
174,118
235,117
212,116
243,115
109,111
200,111
59,110
134,110
45,109
131,109
112,109
23,109
244,105
119,102
248,102
122,101
19,100
76,100
226,99
178,99
193,99
24,99
205,98
68,97
3,97
46,96
167,95
208,94
132,94
195,93
168,92
154,92
80,91
88,90
150,90
179,87
20,87
215,87
113,85
117,84
152,84
199,84
145,81
207,80
233,80
219,80
204,78
124,77
143,77
197,77
1,72
33,72
185,70
6,70
141,70
165,68
190,68
41,68
216,66
172,65
89,65
196,65
164,62
49,61
202,58
227,57
186,57
136,56
183,56
206,55
123,55
240,55
62,54
47,54
140,53
189,52
218,52
237,51
198,50
105,47
139,47
170,46
182,46
232,45
90,44
110,44
44,44
133,44
224,43
87,41
249,40
192,35
231,32
203,32
155,32
217,31
246,30
18,29
230,29
222,29
98,29
221,28
245,28
177,27
214,26
223,25
42,25
63,25
39,22
229,21
180,21
247,15
236,10
