,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.40384909704559135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.35906289592117996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.23708800703322871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.48896772941847905,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.511032270581521,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.3029167207887114,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.2379567216540968,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.177892708366445,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.10588400072415295,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.17534984846659393,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.3048191521796569,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.34320867577369074,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.3519721720466524,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.25034607817499716,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.19097177166210813,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.1910997179111542,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.1758452440502777,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.19173718820146282,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.2092268414697709,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.16158448813598322,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.16015303396180558,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.1736372783671474,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.16137843749828534,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.13401992056700762,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.2003357281416873,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.19695928328536672,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.23803566620764868,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.1640076825579419,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.20066163980735532,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19378581294957598
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15265063847819113
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15826924543291815
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14353100083639594
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17160088222928152
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18016242007363734
