,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,14067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,10972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,6086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,14066.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,17059.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,8708.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,9159.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,4905.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,3850.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,4503.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,9971.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,11838.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,9316.0,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,6936.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,6466.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,7165.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,6495.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,4063.0,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,5674.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,5465.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,5295.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,5141.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,5481.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,4069.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,8304.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,7395.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,8283.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,3975.0,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5757.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6219.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4219.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4563.0
