,Veces Elegido
34,247
12,247
108,246
125,246
92,243
104,240
103,239
11,239
71,238
26,237
82,237
38,236
72,235
61,233
96,230
156,229
158,229
51,229
0,229
75,227
148,226
137,226
40,224
74,223
95,222
17,221
209,219
153,219
8,218
27,218
78,218
2,217
94,216
163,214
9,214
58,213
151,212
5,212
69,210
28,208
52,206
142,206
67,205
70,202
127,201
188,200
50,196
14,196
138,194
144,191
114,189
211,189
7,188
30,188
121,188
130,186
77,186
243,184
171,182
162,181
13,181
210,180
101,180
225,180
16,179
54,179
181,179
10,178
25,177
107,176
21,175
118,174
32,170
48,169
135,169
29,167
187,167
23,166
160,165
19,163
134,163
36,163
22,162
194,161
191,160
4,159
169,158
53,157
24,157
15,156
64,156
234,154
66,154
239,153
20,153
6,152
47,152
73,152
157,151
31,151
106,151
128,148
146,145
37,144
97,142
126,142
201,142
244,139
81,139
45,138
238,138
159,138
111,137
220,137
49,135
80,135
79,134
83,133
56,133
46,132
3,131
109,130
57,129
68,127
200,125
35,122
59,122
235,122
60,120
65,119
55,118
93,116
161,115
33,114
145,114
129,113
112,113
18,112
241,112
44,110
110,109
131,109
226,108
43,108
76,108
248,107
84,106
105,106
88,106
1,103
113,102
122,101
86,101
91,100
132,100
176,99
62,98
120,97
174,93
165,92
116,92
149,92
39,91
102,91
173,90
85,87
115,87
42,85
215,83
41,82
152,82
147,79
140,79
123,78
242,77
212,75
100,75
175,73
99,73
184,72
150,71
164,71
199,70
117,70
193,68
168,67
133,67
205,66
154,65
228,64
179,63
233,63
143,61
119,61
172,60
87,59
216,59
141,58
166,58
139,58
183,56
185,56
208,56
219,54
204,54
63,53
196,51
218,49
167,47
136,44
124,43
177,41
155,39
178,39
195,39
89,38
192,38
237,37
213,35
198,34
170,34
197,32
221,30
189,29
202,27
180,27
203,25
182,23
206,23
190,22
214,22
207,21
232,20
249,19
230,18
90,18
98,17
245,17
186,13
240,13
224,13
246,13
229,12
231,12
227,11
217,11
223,9
222,5
236,2
247,1
