,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.45300630958122445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.3533365485693606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.19365714184941502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.46383621793435054,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.5361637820656495,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.3297686833800216,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.23496146958906894,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.1659898124080529,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.12006898345120894,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.14921105117164762,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.3469500790288213,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.3410471202366706,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.31200280073450815,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.25309875524308817,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.18875854110747498,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.19834524911987425,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.20447611290162646,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.15532134162793623,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.2079845732388087,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.17589382867080144,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.14556904061942527,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.18844707279180747,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.15723392765317304,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.12487155702598411,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.2255307708654086,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.20084297333209256,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.2365963097962115,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.1590448210727159,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.17798512493357144,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17712323357058493
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600280062250247
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16595546358952432
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152141888824614
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656856462343467
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1790657615559054
