,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,10499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,15062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,15441.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,15684.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,5209.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,7923.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,5732.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,6147.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,6114.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,9585.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,11681.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,9859.0,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,5117.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,7019.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,7343.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,6668.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,4978.0,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,3837.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,4863.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,6402.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,4090.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,5696.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,6237.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,6677.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,7575.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,5963.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,4961.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,5949.0,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3854.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6223.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6191.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5146.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5617.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.0
