,Veces Elegido
247,212
243,212
231,212
244,211
238,210
240,209
233,205
246,202
236,201
230,201
228,201
234,199
241,199
245,199
217,198
222,197
227,195
248,195
229,194
219,194
213,194
249,193
218,192
232,192
239,190
209,188
226,187
215,187
224,186
235,186
237,186
221,185
214,185
220,184
216,184
223,183
208,183
211,182
201,182
207,182
225,181
206,181
242,180
197,180
210,179
204,179
185,179
195,177
202,177
205,176
192,175
196,175
189,175
199,173
203,173
200,172
186,172
187,171
193,171
170,171
190,169
212,169
183,168
166,168
179,167
160,166
178,165
191,165
188,164
198,164
182,163
177,159
169,158
161,157
164,157
152,156
163,156
165,156
194,155
157,154
168,154
184,154
162,154
180,154
150,153
181,152
176,151
172,150
174,150
143,150
154,149
175,147
156,147
155,147
131,146
158,146
173,145
133,144
151,143
116,142
139,142
171,141
147,141
145,141
142,140
146,140
127,138
148,138
132,138
167,136
159,136
140,135
141,135
123,134
129,133
130,133
153,133
111,133
124,133
119,133
149,132
136,131
128,131
138,129
99,128
144,128
122,125
110,125
134,125
137,124
109,124
120,124
118,124
115,124
107,123
102,123
112,123
113,122
126,121
105,119
135,119
117,118
125,117
89,116
97,115
114,113
121,113
101,113
98,113
86,112
90,110
87,110
106,108
93,108
85,103
95,103
108,102
79,101
68,101
67,101
94,99
77,99
100,98
103,98
92,97
73,95
104,95
53,93
78,93
80,93
76,91
81,91
65,90
84,90
82,89
96,89
35,89
91,89
48,88
88,88
41,86
57,85
69,85
72,84
47,84
62,82
60,81
74,81
55,81
63,80
45,80
75,79
83,79
71,77
46,77
43,75
52,75
36,74
39,74
58,74
61,74
70,74
56,74
64,73
32,73
66,72
42,70
44,69
49,69
59,67
27,67
19,66
29,66
51,66
50,66
40,65
38,65
28,64
24,63
54,63
31,63
37,62
16,60
33,60
23,60
22,60
15,59
18,59
4,54
13,54
10,49
12,49
14,48
3,47
20,46
21,46
26,46
30,45
25,41
34,41
7,40
1,40
9,40
6,39
17,35
8,34
11,30
5,27
2,25
0,11
