,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.17979886421603442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.33927179644215405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.4809293393418116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.5080979028745242,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.4919020971254758,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.19949911430327993,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.20555775757295144,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.1961752563028344,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.19387818344620358,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.20488968837473065,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.33344171967581127,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.3364461945132153,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.3301120858109734,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.18763808154517536,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.20590685079000756,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.20426961865651952,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.2109520055053018,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.19123344350299584,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.14382710285431569,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.1600559586217595,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.17998067092911044,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.15331062045195498,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.16709504936428232,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.19573059777857707,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.16903123406614734,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.19176450472533565,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.1587640747520377,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.23215107984592775,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.24828910661055154,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437302840967213
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17405946249362284
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16623783496803762
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18672700536208225
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16758339507447503
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16166201800506097
