,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,16571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,10447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,4105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,14925.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,16198.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,5397.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,7410.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,6020.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,6347.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,5949.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,9481.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,11762.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,9880.0,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,5699.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,6499.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,7029.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,6011.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,5885.0,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,5570.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,5512.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,5332.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,4811.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,5764.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,4134.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,8246.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,7410.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,8724.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,2854.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,3889.0,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5596.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5599.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6177.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5507.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4385.0
