,Veces Elegido
0,249
4,244
5,244
8,244
2,242
3,239
11,238
12,237
6,236
9,235
10,234
14,231
13,230
1,228
21,225
7,222
28,222
26,222
25,222
32,221
30,220
27,218
34,216
17,215
33,215
22,214
15,213
38,213
16,212
20,212
40,212
31,210
19,210
23,210
52,207
35,207
58,205
54,204
50,203
48,202
36,199
37,197
104,196
51,194
18,194
43,194
56,191
53,191
49,190
39,189
41,188
24,186
60,186
29,186
97,185
61,184
45,184
44,182
46,182
42,181
116,181
64,181
63,180
66,179
57,179
68,179
71,179
72,176
70,176
77,175
55,175
47,175
69,174
67,173
65,172
78,171
62,171
59,169
73,169
74,168
83,168
76,167
82,167
75,166
84,165
103,164
86,161
128,160
94,160
126,160
81,158
188,157
92,157
79,157
85,157
106,156
89,155
80,154
137,154
95,152
151,151
96,150
108,149
93,148
101,148
90,147
99,146
129,146
87,144
112,143
88,143
100,141
91,140
178,139
110,138
107,137
102,133
105,131
118,131
120,131
114,130
144,129
125,128
109,126
124,124
121,123
171,122
117,122
115,119
156,119
111,119
146,119
127,117
113,116
130,116
123,115
119,115
155,115
158,114
132,114
135,113
153,111
133,110
148,110
138,110
160,110
218,109
122,109
142,109
131,108
98,108
150,105
149,104
139,101
169,99
134,98
161,96
147,95
152,95
145,94
136,94
154,92
157,92
141,92
163,90
166,90
189,89
162,88
140,86
159,82
143,82
170,81
164,79
207,76
165,76
244,75
168,74
213,73
175,73
181,71
176,71
202,70
167,70
173,70
201,69
172,69
185,67
174,67
187,65
206,65
184,63
177,63
182,61
179,61
238,59
211,58
186,57
183,57
191,56
193,56
195,55
194,55
180,52
198,52
192,50
190,49
196,47
209,47
199,46
205,46
204,45
228,44
197,44
200,44
210,42
220,40
242,38
216,38
208,37
226,36
225,35
224,35
212,35
233,34
203,34
215,34
229,32
227,30
217,28
219,27
234,27
221,25
223,24
214,24
222,24
232,17
231,17
239,16
235,15
237,15
230,13
241,11
240,10
243,9
236,9
245,5
246,5
248,3
247,2
249,1
