,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,0.5332731597673306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,0.3361960473169575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,0.13053079291571193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,0.4915405824591232,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,0.5084594175408768,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,0.20576800025259698,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,0.1913820612365688,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,0.20510362803553833,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,0.1992842752122123,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,0.19846203526308356,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,0.3300157703233094,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,0.3389764279796639,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,0.3310078016970268,0.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,0.20662217952975634,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,0.18850149777348818,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,0.19332877878225735,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,0.18802149854548983,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,0.22352604536900836,0.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,0.20484128094374665,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,0.17798776135319672,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,0.14706647800611178,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,0.17692843853148385,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,0.16589409554660525,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,0.1272819456188558,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,0.22580390572932657,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,0.20291134385815063,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,0.2512497379890382,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,0.14446345028275007,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,0.17557156214073463,0.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20690725729789639
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15526363477630295
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16444024524606077
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13882688316390546
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16289324745382633
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17166873206200817
