,Edad,Sexo,Crimen,Clase social,Enfermedad,Consumo drogas,Educacion,Religion
Menor de edad,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adultez,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ancianidad,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombre,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
Mujer,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
No ha cometido ningún crimen,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen sexual,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen menor,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen violento,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
Ha cometido Crimen grave,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Clase baja,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0
Clase alta,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
Clase media,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0
Enfermedad crónica,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
Enfermedad mental,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Enfermedad terminal,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
Enfermedad degenerativa,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
No tiene ninguna enfermedad,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Consume cocaína,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
Consume cannabis,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
Consume alcohol,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
No consume drogas,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
Consume tabaco,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
Consume drogas duras,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
Sin estudios,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
Secundaria,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
Primaria,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
Grado Técnico,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Grado Universitario y superior,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
Hinduismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Islam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Ateismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Budismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Cristianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Judaismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
